epoch,train_loss,lr
1,4.9318636655807495,2.9999999999999997e-05
2,4.145799321787698,5.9999999999999995e-05
3,3.825550356081554,8.999999999999999e-05
4,3.456704701696123,0.00011999999999999999
5,2.835324840886252,0.00015
6,2.1505900271502987,0.00017999999999999998
7,1.675589761829802,0.00020999999999999998
8,1.237900573893317,0.00023999999999999998
9,0.8479292008560151,0.00027
10,0.5900886201166681,0.0003
11,0.4062451936105,0.0003
12,0.32661632874182295,0.0002999794957488703
13,0.307214757926496,0.0002999179886011389
14,0.2477743030405171,0.0002998154953722457
15,0.19995020473184663,0.00029967204408281613
16,0.18366830601423448,0.00029948767395100045
17,0.18121981716831215,0.0002992624353817517
18,0.15639571348063847,0.0002989963899530457
19,0.1491086552850902,0.00029868961039904624
20,0.12456065607719731,0.00029834218059022024
21,0.12144300401476878,0.00029795419551040833
22,0.11915900288814944,0.00029752576123085736
23,0.11700829429901205,0.0002970569948812214
24,0.11137689554275962,0.0002965480246175399
25,0.10526676931684571,0.0002959989895872009
26,0.09523858445962625,0.0002954100398908995
27,0.08909609053080203,0.0002947813365416023
28,0.09117073186540178,0.0002941130514205272
29,0.18411567148619465,0.0002934053672301536
30,0.10347790317609906,0.00029265847744427303
31,0.09388821696029481,0.00029187258625509513
32,0.0884828683809766,0.00029104790851742417
33,0.08377050473089705,0.0002901846696899191
34,0.07532129692793076,0.00028928310577345606
35,0.0703106103600086,0.0002883434632466077
36,0.06790887308514877,0.00028736599899825856
37,0.061399652802720084,0.00028635098025737434
38,0.06786626856462265,0.00028529868451994384
39,0.06231981919017926,0.0002842093994731145
40,0.07167132320578926,0.00028308342291654174
41,0.059557133725840164,0.00028192106268097334
42,0.05372255094984472,0.00028072263654409154
43,0.04956912514795216,0.0002794884721436361
44,0.05239912153371863,0.00027821890688783083
45,0.05114414291373188,0.0002769142878631403
46,0.05371463181550747,0.00027557497173937923
47,0.04798668204291191,0.000274201324672203
48,0.04801219951715601,0.00027279372220300385
49,0.048353473939122135,0.0002713525491562421
50,0.050378207383930985,0.00026987819953423867
51,0.04427203205854572,0.00026837107640945905
52,0.04534491057867334,0.0002668315918143169
53,0.04383936272019388,0.00026526016662852886
54,0.040344987146454514,0.00026365723046405023
55,0.05408320539079016,0.0002620232215476231
56,0.037946047960888664,0.0002603585866009697
57,0.04607905514110046,0.00025866378071866334
58,0.04799541945002212,0.00025693926724370956
59,0.048992085271623055,0.00025518551764087326
60,0.039925803008892605,0.00025340301136778483
61,0.04526974560160722,0.00025159223574386114
62,0.041563212820879665,0.0002497536858170772
63,0.04005514438696472,0.00024788786422862526
64,0.04295730907636296,0.00024599528107549745
65,0.03751116754366584,0.00024407645377103054
66,0.04566368182885786,0.00024213190690345018
67,0.04071346419264695,0.00024016217209245374
68,0.0496056450278307,0.00023816778784387094
69,0.041757251499802805,0.0002361492994024415
70,0.04085587747925144,0.0002341072586027509
71,0.046157053567835,0.00023204222371836405
72,0.035529385028179865,0.00022995475930919905
73,0.027714811621470808,0.00022784543606718227
74,0.03283257495253825,0.00022571483066022657
75,0.04071367608932113,0.0002235635255745762
76,0.04166825288536659,0.00022139210895556104
77,0.03629575548308951,0.00021920117444680317
78,0.03291025743029812,0.00021699132102792097
79,0.030834494510859907,0.0002147631528507739
80,0.030496476201473603,0.00021251727907429355
81,0.03764589610675882,0.0002102543136979454
82,0.057262938868786604,0.0002079748753938678
83,0.03998514949093338,0.0002056795873377331
84,0.036042313067030464,0.00020336907703837748
85,0.033934775033360766,0.00020104397616624645
86,0.03495621488036704,0.00019870492038070252
87,0.040996681088017795,0.0001963525491562421
88,0.031805795189679235,0.0001939875056076697
