epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr
1,1.991561714917013,1.8972149342298508,13.530427276650842,12.688821752265861,0.11136905878109746,0.10346360108598594,0.0001
2,1.917011414488701,1.7998794838786125,16.486836426413465,16.414904330312186,0.15057594260128662,0.15387780011054558,0.0002
3,1.838210443927817,1.7283773198723793,23.305999136814847,24.068479355488417,0.24365395795727698,0.25436120375602683,0.0003
4,1.7869043072609052,1.6596312299370766,28.67932671558049,30.11077542799597,0.2986684166356733,0.31276604906727595,0.0004
5,1.7253181477115578,1.574079543352127,29.305135951661633,29.305135951661633,0.28791740758386486,0.28537028002613124,0.0005
6,1.6139385634905672,1.4906464740633965,30.168321104876995,33.23262839879154,0.30097409062752545,0.326878869420303,0.0006
7,1.5275302227229288,1.3898907452821732,29.736728528269314,30.31218529707956,0.2739849446114753,0.28120456495998947,0.0007
8,1.489649233752734,1.3790225982666016,27.40612861458783,27.794561933534744,0.2270698777958322,0.23793294264190978,0.0008
9,1.4251006890649665,1.296144139021635,36.037980146741475,42.59818731117825,0.35205850345538503,0.4299854653089657,0.0009000000000000001
10,1.3644132826426258,1.228064052760601,40.22442813983599,43.403826787512585,0.3968130011508456,0.4272563987459489,0.001
11,1.3662410615241691,1.24174315482378,36.10271903323263,40.88620342396777,0.34474526479619666,0.41311683219046924,0.001
12,1.285881033498947,1.1821631342172623,32.75787656452309,38.066465256797585,0.3045516616590401,0.362318714443806,0.0009999316524962345
13,1.2679765624542758,1.2804764285683632,36.879585671126456,39.879154078549846,0.3604760319510626,0.3987903051854952,0.000999726628670463
14,1.240045669960649,1.0790786258876324,43.18083728959862,48.84189325276939,0.43109070314213915,0.48853234540602497,0.0009993849845741523
15,1.2169349765124386,1.1622713133692741,36.70694864048338,41.591137965760325,0.3545752625648938,0.4149677439493416,0.0009989068136093873
16,1.2038234406954622,1.1196355186402798,37.93698748381528,46.626384692849946,0.37850939929422733,0.47511147002744647,0.000998292246503335
17,1.1819238834185144,0.9975584484636784,44.73457056538628,55.3877139979859,0.44247021966383165,0.5516352833229898,0.0009975414512725057
18,1.1430533405852645,0.9816585183143616,48.53258523953388,53.675730110775426,0.48133721079967073,0.5328377199464998,0.0009966546331768192
19,1.1384806094104296,1.2113436497747898,39.16702632714717,37.96576032225579,0.3932669014798415,0.38146045081852864,0.0009956320346634876
20,1.1184460398269027,1.0072238259017467,44.4324557617609,48.94259818731118,0.44554182353191174,0.4938306497321187,0.0009944739353007343
21,1.1071933377278995,1.0581165254116058,41.907639188605955,41.49043303121853,0.41783847783708694,0.4103038415405475,0.0009931806517013613
22,1.0771894414130956,0.8692943826317787,49.0504963314631,58.00604229607251,0.48797912002999116,0.5808784558844858,0.0009917525374361913
23,1.0598467457784366,1.0613495707511902,42.01553733275788,46.022155085599195,0.4142068874659289,0.4599020699135519,0.0009901899829374047
24,1.0642806177269923,1.1232111565768719,37.78593008200259,38.368580060422964,0.35299441465938214,0.36718868741984206,0.0009884934153917997
25,1.0523260211291379,1.131355233490467,49.546827794561935,51.76233635448137,0.49060509114956113,0.49478718912497593,0.000986663298624003
26,1.0463953059013575,0.9395778104662895,48.81312041432887,54.884189325276935,0.49152774768231494,0.5329982804486534,0.0009847001329696653
27,1.0097339773831302,1.274089328944683,34.61372464393612,31.822759315206444,0.33090860028416647,0.31974960588138585,0.0009826044551386743
28,1.000343039427718,0.8737714067101479,51.68321104876996,60.52366565961732,0.5126053721846512,0.6013526334461383,0.0009803768380684242
29,1.0031917331969902,0.8435930591076612,46.76305567544238,49.546827794561935,0.4604752798245062,0.494681750165614,0.0009780178907671788
30,1.0103439623362398,1.1045430190861225,49.63314630988347,51.3595166163142,0.48309165854243286,0.48657959903977177,0.0009755282581475768
31,0.989097388639842,1.365358091890812,41.950798446266724,40.5840886203424,0.4232520161851291,0.40913773289632893,0.0009729086208503173
32,0.9735144703355554,0.7379333563148975,49.71946482520501,56.89828801611279,0.4884241754668069,0.5631885547853444,0.0009701596950580807
33,0.9647338088244608,1.0399738177657127,39.274924471299094,45.115810674723065,0.38043907965067525,0.4570857475761802,0.0009672822322997304
34,0.9806960225105286,0.8315061163157225,53.88433318946914,61.83282980866063,0.5411071946641013,0.6161777123069186,0.0009642770192448536
35,0.9414710631109264,0.8599292244762182,50.388433318946916,59.31520644511581,0.5029449153820632,0.5816007591506954,0.0009611448774886924
36,0.9087161691221473,0.9457183461636305,47.453603798014676,53.57502517623364,0.46978434643288347,0.5149532186840104,0.0009578866633275287
37,0.9169356912782748,1.2861927896738052,47.02201122140699,47.230614300100704,0.46376085870836814,0.4442689494507083,0.0009545032675245813
38,0.9169153187372913,0.6822495590895414,52.3090202848511,59.61732124874119,0.5115562547456882,0.5845317933614221,0.0009509956150664796
39,0.8932388335058133,0.7957196719944477,47.08675010789815,51.05740181268882,0.45636863562275815,0.4949409121998688,0.0009473646649103818
40,0.91072718084675,1.1855887658894062,36.25377643504532,36.25377643504532,0.31572987724483514,0.3313233429148121,0.000943611409721806
41,0.8981027374528858,0.7970423270016909,54.29434613724644,61.53071500503525,0.5453978599583182,0.5943967510432684,0.0009397368756032445
42,0.9086940713124733,0.7020243555307388,57.186016400517914,63.24269889224572,0.5722092486000961,0.6372906212211126,0.0009357421218136386
